"removed_bibkey","removed_year","removed_title","replacement_bibkey","replacement_year","replacement_title","reason","audited_at"
"manning1997semiconductor","1997","Semiconductor laser amplifiers for ultrafast all-optical signal processing","zhang2021phase_cn","2021","相位敏感光时域反射分布式光纤传感技术","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"qin2017snr","2017","Signal-to-Noise Ratio Enhancement Based on Empirical Mode Decomposition in Phase-Sensitive Optical Time Domain Reflectometry Systems","wu2021processing_cn","2021","基于Φ-OTDR的光纤分布式传感信号处理及应用","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"lu2017temperature","2017","Temperature-strain discrimination in distributed optical fiber sensing using phase-sensitive optical time-domain reflectometry","yu2021meemd_cn","2021","基于MEEMD-HHT的分布式光纤振动传感系统信号特征提取方法","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"wang2019comprehensive","2019","A Comprehensive Study of Optical Fiber Acoustic Sensing","tian2021signal_cn","2021","相位敏感光时域反射仪的信号处理方法综述","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"young1981design","1981","Design considerations for acousto-optic devices","ma2021dynamic_cn","2021","光纤分布式声传感的动态范围扩展方法研究","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"cassioli2000simulator","2000","A time-domain computer simulator of the nonlinear response of semiconductor optical amplifiers","yu2022lowfrequency_cn","2022","相位敏感光时域反射系统低频响应性能优化","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"dorren2004logic","2004","All-Optical Logic Based on Ultrafast Gain and Index Dynamics in a Semiconductor Optical Amplifier","huang2023gis_cn","2023","光纤分布式声传感系统在GIS耐压测试中的应用","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"sun2006gain","2006","Gain dynamics and saturation property of a semiconductor optical amplifier with a carrier reservoir","lei2024broadband_cn","2024","基于宽带声光调制的高保真相位敏感光时域反射计系统","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"zilkie2007carrier","2007","Carrier Dynamics of Quantum-Dot Quantum-Dash and Quantum-Well Semiconductor Optical Amplifiers Operating at 1.55 micrometers","chen2024svd_cn","2024","基于改进奇异值分解法降噪的频分复用Φ-OTDR","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"zilkie2008linewidth","2008","Time-Resolved Linewidth Enhancement Factors in Quantum Dot and Higher-Dimensional Semiconductor Amplifiers Operating at 1.55 um","lei2025fading_cn","2025","Ф-OTDR系统中的衰落效应抑制研究进展（特邀）","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"devries2015pulse","2015","Acousto-optic pulse picking scheme with carrier-frequency-to-pulse-repetition-rate synchronization","sobhanan2022soa","2022","Semiconductor optical amplifiers: recent advances and applications","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"wu2015separation","2015","Separation and Determination of the Disturbing Signals in Phase-Sensitive Optical Time Domain Reflectometry","connelly2023dynamic","2023","Dynamic power and chirp measurements of a quantum dash semiconductor optical amplifier amplified picosecond pulses using a linear pulse characterization technique","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"pastorgraells2016single","2016","Single-shot distributed temperature and strain tracking using direct detection phase-sensitive OTDR with chirped pulses","zhong2021sagnac","2021","A Novel φ-OTDR System With a Phase Demodulation Module Based on Sagnac Balanced Interferometer","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"liu2016distributed","2016","Distributed Fiber-Optic Sensors for Vibration Detection","lu2021detection","2021","Characterizing detection noise in phase-sensitive optical time domain reflectometry","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"he2017multievent","2017","Multi-event waveform-retrieved distributed optical fiber acoustic sensor using dual-pulse heterodyne phase-sensitive OTDR","lu2022phaseerror","2022","Phase error analysis and unwrapping error suppression in phase-sensitive optical time domain reflectometry","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"muanenda2018dynamic","2018","Dynamic phase extraction in a modulated double-pulse phi-OTDR sensor using a stable homodyne demodulation in direct detection","yang2022digitalized","2022","Digitalized phase demodulation scheme of φ-OTDR based on cross-coherence between Rayleigh back-scattering beat signals","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"xue2018phase","2018","Characterization and Compensation of Phase Offset in Phi-OTDR With Heterodyne Detection","zhao2024frequency","2024","Mitigating the Impact of Frequency Drift on Φ-OTDR Demodulation With WOA-VMD","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
"lu2020snr","2020","SNR dependence of measurement stability of heterodyne phase-sensitive optical time-domain reflectometry","zhu2024downsampling","2024","Noise Performance Analysis and Optimization of Downsampling Heterodyne Φ-OTDR","Rebalanced for Chinese-language coverage and 2021-2026 share; foundational sources retained separately where essential","2026-07-27"
